 ,Area,Mean,Min,Max,X,Y
541,0.000,122,122,122,3682.850,1.960
542,0.000,122,122,122,3690.150,1.860
543,0.000,122,122,122,3690.150,1.906
544,0.000,122,122,122,3702.317,1.760
545,0.000,122,122,122,3707.183,1.699
546,0.000,122,122,122,3707.183,1.668
547,0.000,255,255,255,3729.083,1.568
548,0.000,122,122,122,3714.483,1.637
549,0.000,122,122,122,3724.217,1.499
550,0.000,122,122,122,3733.950,1.422
551,0.000,122,122,122,3736.383,1.322
552,0.000,122,122,122,3736.383,1.353
553,0.000,122,122,122,3741.250,1.261
554,0.000,122,122,122,3748.550,1.192
555,0.000,122,122,122,3750.983,1.154
556,0.000,122,122,122,3753.417,1.084
557,0.000,122,122,122,3753.417,1.054
558,0.000,122,122,122,3763.150,0.977
559,0.000,122,122,122,3763.150,0.954
560,0.000,122,122,122,3770.450,0.869
561,0.000,122,122,122,3775.317,0.777
562,0.000,153,153,153,3797.217,0.639
563,0.000,122,122,122,3787.483,0.708
564,0.000,122,122,122,3799.650,0.547
565,0.000,122,122,122,3811.817,0.470
566,0.000,128,128,128,3828.850,0.401
567,0.000,122,122,122,3828.850,0.355
568,0.000,122,122,122,3848.317,0.286
569,0.000,122,122,122,3853.183,0.232
570,0.000,122,122,122,3865.350,0.294
571,0.000,122,122,122,3867.783,0.363
572,0.000,122,122,122,3872.650,0.493
573,0.000,122,122,122,3875.083,0.585
574,0.000,122,122,122,3879.950,0.670
575,0.000,122,122,122,3882.383,0.762
576,0.000,122,122,122,3884.817,0.800
577,0.000,122,122,122,3889.683,0.885
578,0.000,122,122,122,3896.983,0.969
579,0.000,122,122,122,3906.717,1.069
580,0.000,122,122,122,3906.717,1.184
581,0.000,122,122,122,3916.450,1.276
582,0.000,122,122,122,3916.450,1.399
583,0.000,122,122,122,3916.450,1.330
584,0.000,122,122,122,3923.750,1.438
585,0.000,122,122,122,3928.617,1.507
586,0.000,122,122,122,3935.917,1.599
587,0.000,122,122,122,3943.217,1.660
588,0.000,122,122,122,3948.083,1.737
589,0.000,122,122,122,3955.383,1.814
590,0.000,122,122,122,3967.550,1.906
591,0.000,122,122,122,3982.150,1.983
592,0.000,122,122,122,3999.183,1.998
593,0.000,255,255,255,4013.783,2.021
594,0.000,255,255,255,4028.383,2.013
