"dayOfYear","coastal","innerShelf","outerShelf","iceAlgae","feedingActivity"
71,0.755347337651905,0.819340012815582,0.693669879028384,0,0
72,0.739852193487494,0.801796375057984,0.688105157288748,0,0
73,0.725989225943419,0.786227906556515,0.683458979768046,0,0
74,0.71999997543419,0.777235186687302,0.675761839158446,0,0
75,0.714874200587506,0.766497782917524,0.667384626559131,0,0
76,0.703690378930447,0.754687344209918,0.659669806599659,0,0
77,0.692665079791258,0.744031043958783,0.646141038599485,0,0
78,0.68798251858083,0.736735104892967,0.635710963603207,0,0
79,0.681456153397641,0.726820997971469,0.627215851841756,0,0
80,0.66863413555449,0.714798501115789,0.618245452074879,0,0
81,0.657521109247133,0.70727722042212,0.612023921314757,0,0
82,0.654101339093564,0.695246060883461,0.601213990790401,0,0
83,0.64480733926637,0.681267222185786,0.590215348560045,0,0
84,0.629858508559417,0.670455761519257,0.581007313631774,0,0
85,0.614785243921123,0.665028711083636,0.565815350501444,0,0
86,0.605117942299911,0.657076128586364,0.555048910360875,0,0
87,0.602906805105112,0.651501445992012,0.546019638732801,0,0
88,0.596586003293881,0.640667479268422,0.53485229703691,0,0
89,0.586210256992701,0.626341611454417,0.524271034412782,0,0
90,0.573593859038237,0.615575835731755,0.517,0,0
91,0.560551102267156,0.608693211104444,0.510827488128688,0,0
92,0.548896279516126,0.599521334961871,0.502330723357691,0,0
93,0.540443683621812,0.589052544900768,0.49241725016967,0,0
94,0.537007607420881,0.578342782853959,0.481994613047287,0,0
95,0.533915851774458,0.568447990754268,0.471970356473203,0.015144909857551,0
96,0.525391529871182,0.560424110534519,0.463252024930079,0.0330057423261191,0
97,0.513533016577577,0.554638539208898,0.456747162900576,0.0513694643836496,0
98,0.500454574030821,0.5462455294783,0.450529030872712,0.0665800569035389,0
99,0.48827046436809,0.535306991843618,0.44098183748962,0.0755316652784619,0
100,0.479094949726563,0.523324712678942,0.429741016216473,0.0788877680231114,0
101,0.475042292243418,0.511800478358364,0.418539178705501,0.0778848848077429,0
102,0.472538815151084,0.502236075255975,0.409108936608935,0.073636486460199,0
103,0.465080846352728,0.49600233067801,0.403034785555568,0.0672560438083221,0
104,0.454496770479544,0.490004942674997,0.396936969706858,0.0598570276799546,0
105,0.442696243655435,0.482748506063548,0.389478254656758,0.052552908902939,0
106,0.431588922004301,0.474754543858886,0.381640888996025,0.0464571583051177,-0.0111111111111111
107,0.423084461650047,0.466544579076238,0.374407121315419,0.0426832467143331,-0.0222222222222222
108,0.419092518716574,0.45864013473083,0.368759200205699,0.0421431975298764,-0.0333333333333333
109,0.417643536123877,0.451562733837887,0.365120646367332,0.04385310485363,-0.0444444444444444
110,0.413077050048457,0.445833899412634,0.36138057750666,0.0470249922210137,-0.0555555555555556
111,0.406392850453307,0.441974954146421,0.357325398225721,0.0510959538846148,-0.0666666666666667
112,0.398743120972666,0.438035445414,0.353083848706499,0.0555030840970211,-0.0777777777777778
113,0.391280045240772,0.43233122653144,0.34878466913098,0.0596834771108198,-0.0888888888888889
114,0.385155806891862,0.425650642439611,0.344556599681147,0.0630742271785986,-0.1
115,0.381522589560174,0.418782038079385,0.340528380538986,0.065112428552945,-0.111111111111111
116,0.380618433957726,0.412513758391631,0.336828751886481,0.0652351754864465,-0.122222222222222
117,0.377759829031701,0.407634148317222,0.333170043640653,0.0628855955446714,-0.133333333333333
118,0.372732984683382,0.404179645998598,0.327131278728196,0.0581988021978533,-0.144444444444444
119,0.366289196623891,0.398701446817654,0.319449708989808,0.0518573383132269,-0.155555555555556
120,0.359179760564347,0.391393032269908,0.311517541905091,0.0445507269253119,-0.166666666666667
121,0.352155972215871,0.38312327205908,0.304726984953649,0.036968491068628,-0.177777777777778
122,0.345969127289583,0.374761035888883,0.300378021548712,0.0298001537776949,-0.188888888888889
