"fakeDate","dayOfYear","month","dayLength","temperature","pocConc"
2021-05-13,133,5,8.79648239617826,2.19397984164157,28
2021-05-14,134,5,8.72938325431987,2.16519716309464,28
2021-05-15,135,5,8.66302986288065,2.13645806892691,28
2021-05-16,136,5,8.59745864313356,2.1077731453724,28
2021-05-17,137,5,8.53270601635153,2.07915297866518,28
2021-05-18,138,5,8.46880840380753,2.05060815503928,28
2021-05-19,139,5,8.40580222677449,2.02214926072876,28
2021-05-20,140,5,8.34372390652537,1.99378688196765,28
2021-05-21,141,5,8.28260986433311,1.96553160499001,28
2021-05-22,142,5,8.22249652147068,1.93739401602988,28
2021-05-23,143,5,8.163420299211,1.90938470132131,28
2021-05-24,144,5,8.10541761882705,1.88151424709833,28
2021-05-25,145,5,8.04852490159175,1.85379323959501,28
2021-05-26,146,5,7.99277856877807,1.82623226504538,28
2021-05-27,147,5,7.93821504165895,1.79884190968349,28
2021-05-28,148,5,7.88487074150734,1.77163275974339,28
2021-05-29,149,5,7.8327820895962,1.74461540145911,28
2021-05-30,150,5,7.78198550719846,1.71780042106472,28
2021-05-31,151,5,7.73251741558708,1.69119840479425,28
2021-06-01,152,6,7.68441423603501,1.66481993888175,0.1
2021-06-02,153,6,7.6377123898152,1.63867560956126,0.1
2021-06-03,154,6,7.59244829820059,1.61277600306684,0.1
2021-06-04,155,6,7.54865838246414,1.58713170563252,0.1
2021-06-05,156,6,7.50637854916835,1.56175330349236,0.1
2021-06-06,157,6,7.46562982721625,1.53665138288039,0.1
2021-06-07,158,6,7.42641645343914,1.51183600540084,0.1
2021-06-08,159,6,7.38874176531592,1.48731061443607,0.1
2021-06-09,160,6,7.35260910032551,1.4630741232332,0.1
2021-06-10,161,6,7.31802179594681,1.43912535693057,0.1
2021-06-11,162,6,7.28498318965872,1.41546314066656,0.1
2021-06-12,163,6,7.25349661894016,1.39208629957954,0.1
2021-06-13,164,6,7.22356542127002,1.36899365880786,0.1
2021-06-14,165,6,7.19519293412721,1.34618404348991,0.1
2021-06-15,166,6,7.16838249499065,1.32365627876403,0.1
2021-06-16,167,6,7.14313744133924,1.30140918976861,0.1
2021-06-17,168,6,7.11946111065188,1.279441601642,0.1
2021-06-18,169,6,7.09735684040748,1.25775233952257,0.1
2021-06-19,170,6,7.07682796808495,1.23634022854869,0.1
2021-06-20,171,6,7.0578778311632,1.21520409385873,0.1
2021-06-21,172,6,7.04050976712113,1.19434276059104,0.1
2021-06-22,173,6,7.02472711343764,1.173755053884,0.1
2021-06-23,174,6,7.01053320759165,1.15343979887598,0.1
2021-06-24,175,6,6.99793138706207,1.13339582070533,0.1
2021-06-25,176,6,6.98692498932779,1.11362194451043,0.1
2021-06-26,177,6,6.97751735186772,1.09411699542963,0.1
2021-06-27,178,6,6.96971181216078,1.07487979860132,0.1
2021-06-28,179,6,6.96351170768587,1.05590917916385,0.1
2021-06-29,180,6,6.95892037592189,1.03720396225558,0.1
2021-06-30,181,6,6.95594115434775,1.0187629730149,0.1
2021-07-01,182,7,6.95457738044236,1.00058503658015,0.1
2021-07-02,183,7,6.95483239168462,0.982668978089717,0.1
2021-07-03,184,7,6.95670952555345,0.965013622681955,0.1
2021-07-04,185,7,6.96021211952774,0.947617795495233,0.1
2021-07-05,186,7,6.96534351108641,0.930480321667918,0.1
2021-07-06,187,7,6.97210703770836,0.913600026338376,0.1
2021-07-07,188,7,6.9805060368725,0.896975734644972,0.1
2021-07-08,189,7,6.99054384605773,0.880606271726074,0.1
2021-07-09,190,7,7.00222380274296,0.864490462720048,0.1
2021-07-10,191,7,7.0155492444071,0.848627132765259,0.1
2021-07-11,192,7,7.03052350852906,0.833015107000073,0.1
2021-07-12,193,7,7.04714993258774,0.817653210562858,0.1
2021-07-13,194,7,7.06543185406205,0.802540268591978,0.1
2021-07-14,195,7,7.08537261043088,0.787675106225801,0.1
2021-07-15,196,7,7.10697553917317,0.773056548602693,0.1
2021-07-16,197,7,7.1302439777678,0.758683420861019,0.1
2021-07-17,198,7,7.15518126369368,0.744554412702615,0.1
2021-07-18,199,7,7.18179073442972,0.730667481283032,0.1
2021-07-19,200,7,7.21007572745483,0.717020337222462,0.1
2021-07-20,201,7,7.24003958024792,0.703610690955314,0.1
2021-07-21,202,7,7.27168563028789,0.690436252915996,0.1
2021-07-22,203,7,7.30501721505365,0.677494733538916,0.1
2021-07-23,204,7,7.34003767202409,0.664783843258483,0.1
2021-07-24,205,7,7.37675033867815,0.652301292509105,0.1
2021-07-25,206,7,7.41515855249471,0.64004479172519,0.1
2021-07-26,207,7,7.45526565095268,0.628012051341146,0.1
2021-07-27,208,7,7.49707497153097,0.616200781791383,0.1
